id,attackVector,vectorString,attackComplexity,confidentialityImpact,integrityImpact,availabilityImpact,baseScore,baseSeverity,exploitabilityScore,impactScore,year
CVE-2020-5622,NETWORK,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2020
CVE-2020-5925,NETWORK,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2020
CVE-2020-6118,NETWORK,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2020
CVE-2020-6140,NETWORK,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2020
CVE-2021-32596,NETWORK,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2021
CVE-2021-34524,NETWORK,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2021
CVE-2021-3678,NETWORK,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,HIGH,NONE,NONE,5.9,MEDIUM,2.2,3.6,2021
CVE-2021-38619,NETWORK,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2021
CVE-2019-10988,LOCAL,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:N,LOW,LOW,LOW,NONE,3.4,LOW,0.8,2.5,2019
CVE-2019-1924,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2019
CVE-2019-4133,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:L/A:L,LOW,NONE,LOW,LOW,5.2,MEDIUM,2,2.7,2019
CVE-2019-9455,LOCAL,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:N/A:N,LOW,LOW,NONE,NONE,2.3,LOW,0.8,1.4,2019
CVE-2020-0238,LOCAL,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGH,HIGH,HIGH,HIGH,7,HIGH,1,5.9,2020
CVE-2020-0261,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2020
CVE-2020-14350,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.3,HIGH,1.3,5.9,2020
CVE-2020-15861,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2020
CVE-2020-16221,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2020
CVE-2020-16293,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,5.5,MEDIUM,1.8,3.6,2020
CVE-2020-16298,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,5.5,MEDIUM,1.8,3.6,2020
CVE-2020-18900,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,LOW,NONE,NONE,LOW,3.3,LOW,1.8,1.4,2020
CVE-2020-24716,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2020
CVE-2020-7352,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2,6,2020
CVE-2020-9694,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2020
CVE-2020-9710,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,LOW,LOW,NONE,NONE,3.3,LOW,1.8,1.4,2020
CVE-2020-9712,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,LOW,NONE,HIGH,NONE,5.5,MEDIUM,1.8,3.6,2020
CVE-2021-0006,LOCAL,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,4.4,MEDIUM,0.8,3.6,2021
CVE-2021-0408,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,5.5,MEDIUM,1.8,3.6,2021
CVE-2021-0640,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-21790,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,5.5,MEDIUM,1.8,3.6,2021
CVE-2021-21792,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,5.5,MEDIUM,1.8,3.6,2021
CVE-2021-21869,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-24038,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-28595,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-28605,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-28634,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.2,HIGH,1.5,6,2021
CVE-2021-30871,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,5.5,MEDIUM,1.8,3.6,2021
CVE-2021-30942,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-30980,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-34852,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-35991,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,LOW,LOW,NONE,NONE,3.3,LOW,1.8,1.4,2021
CVE-2021-36009,LOCAL,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2021
CVE-2021-36282,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,LOW,LOW,NONE,NONE,3.3,LOW,1.8,1.4,2021
CVE-2021-36938,LOCAL,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,5.5,MEDIUM,1.8,3.6,2021
CVE-2019-13263,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019
CVE-2019-13361,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,LOW,NONE,HIGH,NONE,6.5,MEDIUM,2.8,3.6,2019
CVE-2019-14620,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2019
CVE-2019-5591,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,6.5,MEDIUM,2.8,3.6,2019
CVE-2020-13594,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2020
CVE-2020-15054,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2020
CVE-2020-15532,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2020
CVE-2020-16216,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2020
CVE-2020-17497,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,LOW,HIGH,HIGH,NONE,8.1,HIGH,2.8,5.2,2020
CVE-2020-24363,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2020
CVE-2020-25067,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2020
CVE-2020-3505,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2020
CVE-2020-8723,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L,LOW,LOW,LOW,LOW,6.3,MEDIUM,2.1,3.7,2020
CVE-2020-8732,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2020
CVE-2020-9079,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2020
CVE-2021-0581,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,6.5,MEDIUM,2.8,3.6,2021
CVE-2021-21596,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2021
CVE-2021-29280,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:H,HIGH,NONE,HIGH,HIGH,6.4,MEDIUM,1.2,5.2,2021
CVE-2021-38111,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2021
CVE-2021-38199,ADJACENT_NETWORK,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2021
CVE-2018-17767,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2018
CVE-2018-17769,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.6,MEDIUM,0.7,5.9,2018
CVE-2019-14630,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,4.6,MEDIUM,0.9,3.6,2019
CVE-2019-15211,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,4.6,MEDIUM,0.9,3.6,2019
CVE-2019-15212,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,4.6,MEDIUM,0.9,3.6,2019
CVE-2019-15216,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,4.6,MEDIUM,0.9,3.6,2019
CVE-2019-15217,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,4.6,MEDIUM,0.9,3.6,2019
CVE-2019-15220,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,4.6,MEDIUM,0.9,3.6,2019
CVE-2019-15223,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,LOW,NONE,NONE,HIGH,4.6,MEDIUM,0.9,3.6,2019
CVE-2019-15945,PHYSICAL,CVSS:3.1/AV:P/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,HIGH,HIGH,HIGH,6.4,MEDIUM,0.5,5.9,2019
CVE-2019-6171,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2019
CVE-2020-0256,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2020
CVE-2020-10124,PHYSICAL,CVSS:3.1/AV:P/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,HIGH,HIGH,HIGH,HIGH,7.1,HIGH,0.5,6,2020
CVE-2020-10126,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.6,HIGH,0.9,6,2020
CVE-2020-13463,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,LOW,HIGH,NONE,NONE,4.6,MEDIUM,0.9,3.6,2020
CVE-2020-13466,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2020
CVE-2020-13469,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,LOW,NONE,HIGH,NONE,4.6,MEDIUM,0.9,3.6,2020
CVE-2020-13470,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,LOW,NONE,HIGH,NONE,4.6,MEDIUM,0.9,3.6,2020
CVE-2020-13471,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2020
CVE-2020-16212,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2020
CVE-2020-16237,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,LOW,NONE,NONE,LOW,2.1,LOW,0.7,1.4,2020
CVE-2020-16241,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,LOW,NONE,NONE,LOW,2.1,LOW,0.7,1.4,2020
CVE-2020-24457,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.6,HIGH,0.9,6,2020
CVE-2020-5376,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2020
CVE-2020-5378,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2020
CVE-2020-8341,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,LOW,NONE,LOW,NONE,2.4,LOW,0.9,1.4,2020
CVE-2020-9063,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.6,HIGH,0.9,6,2020
CVE-2020-9083,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,LOW,NONE,NONE,LOW,2.4,LOW,0.9,1.4,2020
CVE-2021-30863,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2021
CVE-2021-3458,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,LOW,NONE,HIGH,NONE,4.6,MEDIUM,0.9,3.6,2021
CVE-2021-3713,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,7.4,HIGH,0.7,6,2021
CVE-2021-38204,PHYSICAL,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2021
