id,Attack Vector,attackComplexity,confidentialityImpact,integrityImpact,availabilityImpact,baseScore,baseSeverity,exploitabilityScore,impactScore,year,AttackVectorNumeric,ConfidentialityImpactNumeric,IntegrityImpactNumeric,BaseSeverityNumeric,AvailabilityImpactNumeric,AttackVectorEncoded
CVE-2015-7702,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2015,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2015-7705,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-7731,LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,1.8,3.6,2015,1.0,0.0,1.0,1.0,1.0,"(3,[1],[1.0])"
CVE-2015-7764,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2015,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2015-7849,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-7850,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2015,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2015-7852,NETWORK,HIGH,NONE,NONE,HIGH,5.9,MEDIUM,2.2,3.6,2015,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2015-7853,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-7854,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-7855,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2015,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2015-7871,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-8033,NETWORK,LOW,NONE,LOW,NONE,5.3,MEDIUM,3.9,1.4,2015,0.0,1.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-8079,NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,3.9,1.4,2015,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-9229,NETWORK,LOW,LOW,LOW,NONE,4.8,MEDIUM,1.7,2.7,2015,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-9230,NETWORK,LOW,LOW,LOW,NONE,4.8,MEDIUM,1.7,2.7,2015,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-9297,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2015,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-9298,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-9302,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2015,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-9304,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2015,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-9307,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-9308,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-9309,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-9320,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2015,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-9323,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-9324,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-9333,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-9353,NETWORK,LOW,HIGH,HIGH,HIGH,7.2,HIGH,1.2,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-9383,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2015,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2016-0732,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2016,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2016-0762,NETWORK,HIGH,HIGH,NONE,NONE,5.9,MEDIUM,2.2,3.6,2016,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2016-10867,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2016,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2016-10872,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2016,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2016-10873,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2016,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2016-10874,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2016,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2016-10875,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2016,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2016-10878,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2016,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2016-10884,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2016,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2016-10905,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2016,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2016-10937,NETWORK,LOW,NONE,HIGH,NONE,7.5,HIGH,3.9,3.6,2016,0.0,1.0,0.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2016-11085,NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,2.8,3.6,2016,0.0,1.0,0.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2016-3113,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2016,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2016-5018,NETWORK,LOW,HIGH,HIGH,NONE,9.1,CRITICAL,3.9,5.2,2016,0.0,0.0,0.0,2.0,1.0,"(3,[0],[1.0])"
CVE-2016-5431,NETWORK,LOW,NONE,HIGH,NONE,7.5,HIGH,3.9,3.6,2016,0.0,1.0,0.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2016-6220,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2016,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2016-6796,NETWORK,LOW,NONE,HIGH,NONE,7.5,HIGH,3.9,3.6,2016,0.0,1.0,0.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2016-6797,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2016,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2016-7048,NETWORK,HIGH,HIGH,HIGH,HIGH,8.1,HIGH,2.2,5.9,2016,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2016-9040,LOCAL,LOW,NONE,NONE,HIGH,5.5,MEDIUM,1.8,3.6,2016,1.0,1.0,1.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2016-9044,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2016,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2016-9045,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2016,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2016-9048,NETWORK,LOW,LOW,LOW,LOW,7.4,HIGH,3.1,3.7,2016,0.0,2.0,2.0,0.0,2.0,"(3,[0],[1.0])"
CVE-2016-9596,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2016,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2016-9598,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2016,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2017-1000251,ADJACENT NETWORK,LOW,HIGH,HIGH,HIGH,8.0,HIGH,2.1,5.9,2017,2.0,0.0,0.0,0.0,0.0,"(3,[2],[1.0])"
CVE-2017-10039,NETWORK,LOW,HIGH,NONE,NONE,6.8,MEDIUM,2.3,4.0,2017,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10053,NETWORK,LOW,NONE,NONE,LOW,5.3,MEDIUM,3.9,1.4,2017,0.0,1.0,1.0,1.0,2.0,"(3,[0],[1.0])"
CVE-2017-10067,NETWORK,HIGH,HIGH,HIGH,HIGH,7.5,HIGH,1.6,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-10069,NETWORK,HIGH,HIGH,NONE,NONE,5.3,MEDIUM,1.6,3.6,2017,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10074,NETWORK,HIGH,HIGH,HIGH,HIGH,8.3,HIGH,1.6,6.0,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-10078,NETWORK,LOW,HIGH,HIGH,NONE,8.1,HIGH,2.8,5.2,2017,0.0,0.0,0.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2017-10081,NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,2.8,1.4,2017,0.0,1.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10086,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10087,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10089,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10090,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10096,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10101,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10102,NETWORK,HIGH,HIGH,HIGH,HIGH,9.0,CRITICAL,2.2,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10105,NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,2.8,1.4,2017,0.0,1.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10107,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10108,NETWORK,LOW,NONE,NONE,LOW,5.3,MEDIUM,3.9,1.4,2017,0.0,1.0,1.0,1.0,2.0,"(3,[0],[1.0])"
CVE-2017-10109,NETWORK,LOW,NONE,NONE,LOW,5.3,MEDIUM,3.9,1.4,2017,0.0,1.0,1.0,1.0,2.0,"(3,[0],[1.0])"
CVE-2017-10110,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10111,NETWORK,LOW,HIGH,HIGH,HIGH,9.6,CRITICAL,2.8,6.0,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10114,NETWORK,HIGH,HIGH,HIGH,HIGH,8.3,HIGH,1.6,6.0,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-10115,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2017,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2017-10116,NETWORK,HIGH,HIGH,HIGH,HIGH,8.3,HIGH,1.6,6.0,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-10118,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2017,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2017-10125,PHYSICAL,HIGH,HIGH,HIGH,HIGH,7.1,HIGH,0.5,6.0,2017,3.0,0.0,0.0,0.0,0.0,"(3,[],[])"
CVE-2017-10135,NETWORK,HIGH,HIGH,NONE,NONE,5.9,MEDIUM,2.2,3.6,2017,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10176,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2017,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2017-10179,NETWORK,LOW,LOW,LOW,NONE,6.5,MEDIUM,3.9,2.5,2017,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10193,NETWORK,HIGH,LOW,NONE,NONE,3.1,LOW,1.6,1.4,2017,0.0,2.0,1.0,3.0,1.0,"(3,[0],[1.0])"
CVE-2017-10198,NETWORK,HIGH,HIGH,NONE,NONE,6.8,MEDIUM,2.2,4.0,2017,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10243,NETWORK,LOW,LOW,NONE,LOW,6.5,MEDIUM,3.9,2.5,2017,0.0,2.0,1.0,1.0,2.0,"(3,[0],[1.0])"
CVE-2017-10662,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2017,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2017-10663,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2017,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2017-10816,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10817,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10818,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-10819,NETWORK,HIGH,HIGH,NONE,NONE,5.9,MEDIUM,2.2,3.6,2017,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10837,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2017,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2017-10850,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2017,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2017-11652,LOCAL,LOW,HIGH,HIGH,HIGH,8.4,HIGH,2.5,5.9,2017,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2017-11653,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2017,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2017-11657,LOCAL,LOW,HIGH,HIGH,HIGH,7.3,HIGH,1.3,5.9,2017,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2017-11664,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2017,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2017-12146,LOCAL,HIGH,HIGH,HIGH,HIGH,7.0,HIGH,1.0,5.9,2017,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2017-12424,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-12439,NETWORK,HIGH,HIGH,HIGH,HIGH,7.5,HIGH,1.6,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12477,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-12478,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-12562,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2017,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2017-12584,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12597,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12598,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12599,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12601,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12603,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12604,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12605,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12606,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12637,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2017,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2017-12640,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12641,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12643,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2017,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2017-12644,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12662,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12663,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12664,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12665,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12666,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12667,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12668,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2017-12669,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2017,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
